URL,Type,Needed
General Roles and Responsibilities of the Professions,Docs,Y
https://www.cdc.gov/mmwr/volumes/71/rr/rr7103a1.htm,Website,Y
https://iris.who.int/items/528fad47-b392-4c32-bcd5-4f4ca1c6edfc,Website / PDF,Y
https://iris.who.int/items/c404bc39-5be0-4218-8ffb-20c4c97c57fa,Website / PDF,Y
https://iris.who.int/items/fc0f90b4-681d-4522-9378-5db12a82b861,Website / PDF,Y
https://iris.who.int/items/ab2c7773-11bb-43cb-a99c-37cad072c047,Website / PDF,Y
https://pmc.ncbi.nlm.nih.gov/articles/PMC6401330/,Website,Y
https://www.oregonpainguidance.org/wp-content/uploads/2020/06/13.-CDC-Why-Guidelines-for-Primary-Care-Providers.pdf,PDF,Y
https://www.fda.gov/news-events/press-announcements/fda-approves-first-nalmefene-hydrochloride-auto-injector-reverse-opioid-overdose,Website,Y
https://www.sciencedirect.com/science/article/abs/pii/S2405452622000921,Website,Y
https://www.chcs.org/resource/a-federally-qualified-health-center-and-certified-community-behavioral-health-clinic-partnership-in-rural-missouri/,Website,Y
https://nida.nih.gov/news-events/news-releases/2024/07/doctors-reluctant-to-treat-addiction-most-commonly-report-lack-of-institutional-support-as-barrier,Website,Y
https://library.samhsa.gov/product/dawn-alcohol-related-short-report/pep24-07-019,Website,N
https://www.urban.org/sites/default/files/2024-05/Guide_to_Equity_in_Pharmacy_Services.pdf,PDF,Y
https://library.samhsa.gov/product/expanding-peer-support-peer-workforce-mental-health/pep24-01-004,Website / PDF,Y
https://library.samhsa.gov/product/issue-brief-person-centered-planning/pep24-01-002,Website,N
https://www.thenationalcouncil.org/resources/motivational-interviewing-tips-for-providers/,Website,N
https://www.aha.org/opioids,Website,N
https://www.samhsa.gov/about/digital-toolkits/recovery-month/toolkit,Website,N
https://iris.who.int/items/c404bc39-5be0-4218-8ffb-20c4c97c57fa,Website / PDF,Y
https://iris.who.int/items/fc0f90b4-681d-4522-9378-5db12a82b861,Website / PDF,Y
https://iris.who.int/items/ab2c7773-11bb-43cb-a99c-37cad072c047,Website / PDF,Y
https://iris.who.int/items/97000110-b71b-4e8f-b86b-2103fd1fc230,Website / PDF,Y
https://iris.who.int/items/a89149c2-962d-4f41-87bd-7d643c554236,Website / PDF,Y
https://iris.who.int/items/43786425-72c5-4977-a026-f5db83bcc3c5,Website / PDF,Y
https://iris.who.int/items/5112a989-b3a2-455e-96aa-f70eaa6876a2,Website / PDF,Y
https://www.recoveryanswers.org/research-post/does-access-fun-activities-support-addiction-recovery-2/,Website,Y