model,k,mode,precision,recall,mrr,f1
MiniLM-L6-v2,7,baseline,0.6381,0.09,0.8,0.155
MiniLM-L6-v2,7,topic_filtered,0.6476,0.0925,0.8,0.159
MPNet-base-v2,7,baseline,0.6952,0.122,0.8,0.1844
MPNet-base-v2,7,topic_filtered,0.6952,0.122,0.8,0.1844
BGE-small-en,7,baseline,0.7143,0.102,0.9333,0.175
BGE-small-en,7,topic_filtered,0.7143,0.1014,0.9333,0.1742
TF-IDF,7,baseline,0.7619,0.1366,0.9167,0.2076
TF-IDF,7,topic_filtered,0.7429,0.1314,0.9167,0.1995
BM25,7,baseline,0.8286,0.1721,1.0,0.2426
BM25,7,topic_filtered,0.819,0.1696,1.0,0.2385
BGE-M3,7,baseline,0.810,0.163,1.0,0.2281
BGE-M3,7,topic_filtered,0.819,0.1645,1.0,0.2314
Instructor-XL,7,baseline,0.6571,0.1015,0.9333,0.1723
Instructor-XL,7,topic_filtered,0.6476,0.0989,0.9333,0.1682