Role	Type	parsed file
Nurse, PA, Public Health, PharmD	Website / PDF	CDC-Clinical-Practice-Guideline-for-Prescribing-Opioids-for-Pain-United-States.txt
Nurse	PDF	SAMHSA-Overdose-Prevention-and-Response-Toolkit.txt
Social work, Nurse	PDF	Behavioral-Health-among-Older-Adults-Results-from-the-2021-and-2022-National-Surveys-on-Drug-Use-and-Health.txt
Nurse	PDF	Workforce-Solutions-Partnership.txt
Nurse	PDF	CMS-Cross-Cutting-Initiative-Behavioral-Health.txt
Nurse, PA	PDF	Why-Guidelines-for-Primary-Care-Providers.txt
Nurse, Social Work, Public Health	PDF	a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt
Nurse, Social Work	PDF	a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt
Nurse, Public Health, PA, Social work	Website / PDF	OPIOIDS-Cultivating-Interprofessional-Collaboration-to-Find-Solutions-to-Public-Health-Problems.txt
Nurse	PDF	Interprofessional-Guidelines-for-Opioid-Use.txt
Public Health	PDF	Opioid-Rapid-Response-Program-Online-Training.txt
Public Health	PDF	opioid-epidemic-practical-toolkit-35001-dhhs.txt
Public Health	PDF	Curbing-prescription-opioid-dependency.txt
Public Health, Nurse	Website / PDF	2024-ccbhc-impact-report.txt
Public Health, Nurse	PDF	Ohio-2018-Action-Guide-to-Address-Opioid-Abuse.txt
Public Health	PDF	CIB-on-Opportunities-to-Address-MH-and-SUD-Needs-of-Homeless-Individuals.txt
Public Health	PDF	Engaging-Community-Members-in-Medicaid-Policy-and-Program-Design.txt
Public Health	PDF	Designing-a-Health-Related-Social-Needs-Strategy-in-Medicaid-State-Considerations (1).txt
Public Health	PDF	Frequently-Asked-Questions-on-Medicaid-and-CHIP-Coverage-of-Peer-Support-Services.txt
Public Health	PDF	Medicaid-Coverage-of-Medications-to-Reverse-Opioid-Overdose-and-Treat-Alcohol-and-Opioid-Use-Disorders-Report.txt
PA	Website / PDF	Cancer-pain-relief.txt
PA	Website / PDF	Drug-Abuse-Warning-Network-Alcohol-Related-ED-Visits-Short-Report.txt
Social work	PDF	Basic-Coding-for-Integrated-BH.txt
Social work, Public Health	Website / PDF	Conversation-Paths-for-Loved-Ones.txt
Social work, Public Health	PDF	Guide-to-Equity-in-Behavioral-Health-Care.txt
Social work, Public Health	PDF	Healing-Hands-for-January-2024.txt
Social work	Website / PDF	LGBTQIA-Glossary-of-Terms-for-Health-Care-Teams.txt
General	Website / PDF	Arguments-against-the-compulsory-treatment-of-opioid-dependence.txt
General	Website / PDF	Opioid-substitution-improving-cost–efficiency.txt
General	Website / PDF	Guidelines-for-the-psychosocially-assisted-pharmacological-treatment-of-opioid-dependence.txt
General, Nurse	Website / PDF	Arguments-in-favour-of-compulsory-treatment-of-opioid-dependence
General, Nurse	Website / PDF	Voluntary-treatment-not-detention-in-the-management-of-opioid-dependence.txt
PharmD, PA	PDF	Guide-to-Equity-in-Pharmacy-Services.txt
PharmD	Website / PDF	Opportunities-to-Promote-Medications-for-Opioid-Use-Disorder-in-Federally-Qualified-Health-Centers.txt
PharmD, PA, General	Website / PDF	Extended-release and long-acting opioid medications.txt
PharmD, PA, General	Website / PDF	Opioid-substitution-therapy-in-resource-poor-settings.txt
PharmD, PA, General	Website / PDF	Opioid-overdose-trends-risk-factors-interventions-and-priorities-for-action.txt
PharmD, PA, General	Website / PDF	Do-national-drug-control-laws-ensure-the-availability-of-opioids-for-medical-and-scientific-purposes.txt
PharmD, General	Website / PDF	Advocates-need-to-show-compulsory-treatment-of-opioid-dependence-is-effective.txt
PharmD, General	Website / PDF	Scaling-up-opioid-dependence-treatment-in-low--and-middle-income-settings.txt
PharmD, General	Website / PDF	Operational-guidelines-for-the-management-of-opioid-dependence-in-the-South-East-Asia-Region.txt
PharmD, PA, General	Website / PDF	Narcotic-and-psychotropic-drugs.txt
PharmD, PA, General	Website / PDF	The-Uses-of-methadone-in-the-treatment-and-management-of-opioid-dependence.txt
PharmD, PA, General	Website / PDF	An-aid-to-prescribing-narcotics-for-the-relief-of-cancer-pain.txt